freq,sigma_ext,sigma_sc,d_wall_p
2240,9.0742097716413174e-05,4.9963255312328295e-05,1.8000000000000003
2245,8.9480168234757238e-05,4.9608003962588826e-05,1.8000000000000003
2250,8.8180298315037792e-05,4.9271531271455624e-05,1.8000000000000003
2255,8.6844641505490626e-05,4.8952957036372712e-05,1.8000000000000003
2260,8.5477332648065311e-05,4.8651455271023421e-05,1.8000000000000003
2265,8.4084336635011455e-05,4.8366250218490903e-05,1.8000000000000003
2270,8.267326206511173e-05,4.8096612725791181e-05,1.8000000000000003
2275,8.1253143321256206e-05,4.7841856943825326e-05,1.8000000000000003
2280,7.9834195378272109e-05,4.7601337317545953e-05,1.8000000000000003
2285,7.8427546195378503e-05,4.7374445837638201e-05,1.8000000000000003
2290,7.7044952101493243e-05,4.7160609523077893e-05,1.8000000000000003
2295,7.5698501958336691e-05,4.6959288112364975e-05,1.8000000000000003
2300,7.4400316157069972e-05,4.676997193840448e-05,1.8000000000000003
2305,7.3162246679623602e-05,4.6592179968440382e-05,1.8000000000000003
2310,7.1995584429559046e-05,4.6425457989235326e-05,1.8000000000000003
2315,7.0910779934372915e-05,4.6269376923040455e-05,1.8000000000000003
2320,6.9917183289251454e-05,4.6123531257810969e-05,1.8000000000000003
2325,6.9022808814792367e-05,4.5987537582099162e-05,1.8000000000000003
2330,6.8234129405180051e-05,4.5861033210957408e-05,1.8000000000000003
2335,6.7555904967316063e-05,4.5743674895361878e-05,1.8000000000000003
2340,6.6991048620556362e-05,4.5635137606975754e-05,1.8000000000000003
2345,6.6540533572998417e-05,4.5535113392013359e-05,1.8000000000000003
2350,6.6203342722977876e-05,4.5443310288404493e-05,1.8000000000000003
2355,6.5976462158108746e-05,4.5359451302888835e-05,1.8000000000000003
2360,6.5854918790923399e-05,4.5283273444784414e-05,1.8000000000000003
2365,6.5831861422149636e-05,4.521452681316505e-05,1.8000000000000003
2370,6.5898683638783778e-05,4.5152973737615216e-05,1.8000000000000003
2375,6.6045186006712158e-05,4.509838796922512e-05,1.8000000000000003
2380,6.6259774208595119e-05,4.5050553922941956e-05,1.8000000000000003
2385,6.6529688984672008e-05,4.5009265969406759e-05,1.8000000000000003
2390,6.6841263035795977e-05,4.4974327776432325e-05,1.8000000000000003
2395,6.7180199453377646e-05,4.494555169998909e-05,1.8000000000000003
2400,6.7531865764933771e-05,4.492275822321217e-05,1.8000000000000003
